ID	CS.T2DM_vs_N.ctr_ratio	CS.T2DM_vs_N.ctr_p.adj
ACADS	4.64	0.0395
GOLGA3	2.21	0.0426
VDAC3	3.78	0.0451
FNDC3B	1.6	0.0409
ACADVL	7.39	0.00351
CD44	6.12	0.000642
PXN	4.49	0.0109
ITIH3	2.16	0.0287
RPL27A	5.6	0.00551
SSBP1	5.61	0.00521
ADH5	6.68	0.000783
NDUFS1	4.18	0.00606
GART	6.1	0.0118
FLOT2	1.85	0.0201
STT3B	5.78	0.0033
CAPN1	6.97	0.000728
TRIP12	3.87	0.00484
OXCT1	4.32	0.00129
AKR7A2	3.73	0.0302
MTHFD1	7.06	0.00319
ATP13A1	5.66	0.000711
LAMTOR5	2.73	0.0258
PRKCSH	6.19	0.0341
USP7	3.92	0.00468
C12orf57	3.84	0.00592
SNRPD1	5.41	0.00134
PRPSAP1	2.04	0.0124
DAD1	4.95	0.00149
PAPSS1	2.53	0.0357
MTDH	3.79	0.0118
DDX19A	2.74	0.00902
ERLIN2	5.15	0.0181
OPA1	6.33	0.00068
PPP3CA	2.79	0.0102
FKBP10	5.93	0.00759
COPS2	3.22	0.0384
RPL35	5.05	0.00124
EMC1	4.5	0.0012
DOCK7	5.01	0.00102
RCN2	2.21	0.0354
ATAD3A	2.69	0.0383
FIS1	6.45	0.000728
PDLIM2	3.1	0.00362
TMEM14C	4.16	0.00184
SEC11A	5.09	0.00468
CCN1	2.88	0.0153
ACSL1	5.48	0.00931
ILF2	4.6	0.009
ENAH	3.15	0.00427
DHX15	4.51	0.022
SMTN	2.22	0.0187
ACSL4	2.69	0.0183
SDCBP	5.42	0.0214
PAPSS2	6.87	0.000711
BAG3	5.65	0.0088
ILF3	5.56	0.00198
GNA13	4.48	0.0261
APEH	3.78	0.0173
GSTO1	3.74	0.0163
MAP4	5.34	0.00287
H3C15	4.06	0.0245
PTPN9	2.97	0.0252
PITRM1	8.16	0.00137
XPO7	4.02	0.0424
CDC42BPB	4.78	0.028
AAK1	4.43	0.00135
PRRC1	4.52	0.00127
HNRNPA0	2.16	0.0107
NRBP1	3.38	0.0458
GBA	3.18	0.00515
ACOT9	8.6	0.000557
LARP1	5.08	0.000771
IGF2BP2	2.28	0.0117
TOR1AIP1	4.11	0.0104
ARFGAP1	2.37	0.033
PSAP	3.66	0.035
USP47	2.59	0.0247
PRKAA1	4.73	0.00103
PPP2R5D	4.25	0.00309
TIMM13	2.7	0.0351
ACP2	2.84	0.0113
SRC	5.82	0.00251
CDH2	3.72	0.024
SUPT16H	2.83	0.0126
FTL	5.44	0.0174
HNRNPUL2	3.67	0.0148
SUCLG1	2.39	0.0261
SLC25A12	5.88	0.00453
SRP14	4.21	0.0317
EDC4	2.55	0.0375
PEAK1	3.62	0.00441
SF3A1	2.27	0.0111
ME2	4.5	0.00309
STOML2	3.8	0.0474
SLC27A4	3.09	0.00857
ABHD12	3.52	0.00319
COL12A1	3.55	0.00461
PNPLA6	2.09	0.0255
APOB	5.01	0.0025
VCPIP1	4.73	0.0338
NPTN	5.36	0.00709
HCFC1	3.07	0.0191
VASP	2.03	0.0401
SCP2	6.87	0.000557
WFS1	3.65	0.0243
PEPD	6.14	0.00134
TM9SF3	7.01	0.00466
NUFIP2	2.82	0.0371
OCIAD1	3.1	0.0125
TSNAX	3.58	0.009
AKR1C1	7.06	0.0371
HSPB6	7.68	0.00854
PTPN1	3.32	0.0454
ARL6IP5	6.24	0.00132
ATPAF2	4.22	0.0217
PTP4A2	3	0.042
EIF5B	5.1	0.0105
RAB3GAP2	4.48	0.00144
MON2	3.83	0.00167
DHX30	3.72	0.0166
PUF60	4.29	0.0251
CLASP1	2.75	0.00703
PDXDC1	3.09	0.0104
ATP5PD	4.31	0.00466
OXSR1	2.95	0.0188
PRKAG1	2.84	0.00656
EFL1	3.32	0.0188
NPC1	8.07	0.000557
ERC1	2.27	0.0383
NUP93	3.46	0.0136
PCYT1A	3.5	0.0292
USP15	2.33	0.0211
ALDH3A2	1.98	0.0383
MARS1	6.44	0.00074
LMAN2	3.78	0.00569
UQCRQ	2.45	0.0103
LAMB1	5.01	0.00278
HNRNPUL1	3.67	0.0129
IMPA1	6.7	0.00212
SOD1	4.96	0.00613
PTPN12	2.57	0.0218
ACAD9	5.68	0.0039
GIT1	4.34	0.00159
RAB11FIP5	2.09	0.0116
