ID	CS.20_vs_M.Ctr_ratio	CS.20_vs_M.Ctr_p.adj
AP3M2	1.69	0.0156
ATP5MF	1.18	0.00618
IFT22	1.53	0.00949
C9	2.03	0.0344
SH3GLB2	2.51	0.0181
ISOC1	2.35	0.00253
ORMDL1	1.43	0.0307
MGST1	3.2	0.00124
ASCC3	1.14	0.00358
SAFB	1.51	0.0198
MYADM	1.56	0.00743
TOR1A	1.08	0.00974
DPP9	2.4	0.0385
SLC7A1	1.87	0.00508
LNPEP	3.46	0.0303
SLC12A2	1.54	0.0061
ANO10	1.54	0.0388
KLHL22	1.82	0.04
SH3BGRL2	1.44	0.00409
FAM3A	1.3	0.0352
KDSR	3.89	0.000347
PEX11B	1.53	0.0198
ADAMTS13	1.72	0.034
MCM2	2.07	0.0244
HIBCH	1.23	0.0316
RAB34	2.98	0.00109
RAB34	3.95	0.0135
