ID	CS.T1_vs_N.ctr_ratio	CS.T1_vs_N.ctr_p.adj
ACTG1	2.38	0.0401
VIM	1.95	0.0306
MYH9	2.57	0.0159
ACTA1	2.15	0.0235
TUBB	1.63	0.0437
CLTC	1.88	0.0409
MYH10	2.87	0.023
TUBB6	1.89	0.0387
MYO1C	2.04	0.0281
AHNAK	3.16	0.00877
COPA	2.27	0.0267
DPYSL2	1.57	0.0476
MYOF	2.83	0.0319
LRP1	2.8	0.0144
SERPINH1	1.65	0.0444
AHSG	2.44	0.0306
AP2A2	4.72	0.0244
HBA1	2.57	0.0219
EIF3A	3.32	0.00964
IDH3A	2.7	0.0246
CAMK2D	1.63	0.0439
ILK	2.51	0.0197
PPP2CA	2.49	0.0264
PALLD	2.28	0.0303
DYSF	4.39	0.00667
EIF2S3	1.74	0.0403
ECPAS	2.58	0.0154
EIF4G1	3.11	0.0198
PSMC1	2	0.0291
GLG1	5.38	0.0134
H4C1	2.2	0.0378
ATP2B1	4.65	0.0161
STAT3	2.9	0.0307
TNS1	2.31	0.0219
CYFIP1	2.31	0.0178
RPS14	2.88	0.0359
RAB11A	3.55	0.0403
FLII	4.01	0.0173
RPS15	4.17	0.0415
CKAP4	2.77	0.0336
HYOU1	2.97	0.0091
GLS	3.26	0.00945
BGN	2.76	0.0194
UBAP2L	3.39	0.0103
MPRIP	3.95	0.00669
PCBP3	2.88	0.0492
MYO1E	3.27	0.0283
SQOR	3.89	0.00877
ATP6V0A1	3.66	0.0352
MATR3	5.13	0.00667
VAMP3	5.34	0.00669
UPF1	3.5	0.0078
UBR4	5.3	0.0257
SHMT2	2.08	0.0332
AP3B1	3.73	0.0133
OGDH	3.56	0.00837
UGGT1	2.8	0.012
SURF4	6.25	0.0172
RAI14	2.66	0.042
NCKAP1	3.19	0.00877
DDX17	3.78	0.00877
GNAQ	2.64	0.0131
LAMTOR1	4.22	0.0154
ATL3	2.35	0.0244
SEPTIN9	1.71	0.0377
PCK2	2.24	0.0197
DHX9	6.01	0.0197
NOMO2	2.69	0.0349
LONP1	5.25	0.041
RCN1	2.26	0.023
HSPH1	3.82	0.0212
PDGFRB	4.13	0.0266
TOMM70	3.28	0.00825
SF3B3	4.39	0.0106
NNT	5.36	0.023
RPL38	5.29	0.0197
ESYT1	3.78	0.0161
GNAS	3.49	0.0103
BAG6	3.32	0.016
HINT1	5.48	0.0131
ARF6	5.54	0.00549
COPG2	2.14	0.0276
AP1G1	2.3	0.0361
PI4KA	3.7	0.0113
EIF1	4.76	0.00877
UTRN	3.92	0.00667
