ID	CS.T1_vs_N.ctr_ratio	CS.T1_vs_N.ctr_p.adj
RPS24	4.2	0.0154
SEC24A	2.57	0.0439
TJP1	3.86	0.00667
CAPZA1	2.83	0.0432
ITGA5	3.13	0.0113
DYNLL2	2.8	0.0232
P3H1	4.88	0.0279
SEC23IP	3.1	0.027
RPL32	4.5	0.0126
P4HA2	2	0.0262
RPL27	2.51	0.0346
TM9SF2	4.48	0.0161
AP3D1	5.15	0.00549
RPS26	2.74	0.0197
UBE2D2	2.11	0.0281
TXNDC5	1.58	0.0489
PLXNB2	3.61	0.00825
MYO18A	3.09	0.00877
RPS27L	3.05	0.0197
PRKAR2A	3.25	0.0437
KPNA3	1.77	0.0361
RCN3	2.94	0.0476
GOLT1B	4.35	0.0159
LETM1	4.61	0.0192
EIF4G2	3.33	0.00825
PXDN	4.59	0.00549
HSPG2	2.64	0.0314
HNRNPR	5.32	0.00877
RPL36	4.36	0.0113
CSNK2A1	5.23	0.00549
MYO6	4.05	0.0078
CACNA2D1	4.76	0.00549
GLIPR2	2.4	0.0233
PRKACA	2.28	0.0247
CNOT1	4.66	0.00877
CKAP5	2.17	0.037
IDH3G	2.74	0.0191
DIAPH1	3.32	0.023
AP1M1	5.6	0.00825
SCFD1	4.2	0.0326
KANK2	3.52	0.0273
HUWE1	2.11	0.0295
STT3A	6.25	0.00877
PC	4.9	0.00549
GET3	1.66	0.0466
GBF1	4.12	0.00764
WASHC4	3.77	0.0232
SELENOF	5.97	0.00549
CCDC47	2.2	0.0403
CYB5A	5.53	0.00579
WASHC5	2.82	0.0232
SNRPE	3.1	0.027
SEC24B	3.07	0.0228
RPS25	3.83	0.0466
LAMC1	2.38	0.0175
TNKS1BP1	2.23	0.047
APOC3	4.45	0.00669
PPME1	2.55	0.0283
ARHGEF2	2.06	0.0381
FAF2	4.27	0.0172
LRRC47	2.49	0.0278
CAVIN3	2.66	0.0173
POSTN	4.47	0.0103
PLOD3	5.59	0.045
COL5A1	3.48	0.0306
FNDC3B	3.57	0.00877
CD44	2.14	0.0227
RPL27A	5.36	0.0159
PPM1A	3.03	0.0219
NDUFS1	4.59	0.0115
FLOT2	1.82	0.0363
STT3B	4.7	0.016
CAPN1	2.43	0.0355
LUM	2.61	0.0227
TRIP12	2.44	0.0403
OXCT1	2.87	0.0113
MTHFD1	4.47	0.0283
ATP13A1	4.17	0.00667
LAMTOR5	3.9	0.0173
USP7	2.57	0.0358
C12orf57	2.9	0.0291
SNRPD1	4.78	0.00764
NDUFV1	1.89	0.0344
PRPSAP1	1.82	0.0328
DAD1	6.81	0.00549
TXNDC12	3.13	0.0426
OPA1	5.96	0.00549
RPL35	5.34	0.00549
EMC1	2.44	0.0175
DOCK7	3.7	0.00825
RCN2	2.98	0.0256
FIS1	5.44	0.00579
NLRX1	3.88	0.0102
PDLIM2	1.98	0.0306
SEC11A	5.1	0.012
RBMS1	1.85	0.0306
ACSL1	5.03	0.0244
ILF2	3.76	0.0325
DHX15	4.81	0.0317
PAPSS2	2.02	0.0447
BAG3	4.62	0.0315
ILF3	4.15	0.0126
SUCLA2	1.92	0.0328
PTPN9	4.23	0.0173
PITRM1	3.72	0.0332
AAK1	1.87	0.0397
PRRC1	2.24	0.0231
ACOT9	7.15	0.00549
LARP1	3.44	0.00825
IGF2BP2	3.28	0.0088
TOR1AIP1	3.19	0.0407
PRKAA1	4.11	0.00667
EFR3A	3.39	0.0308
PPP2R5D	3.15	0.0189
TIMM13	4.32	0.0172
SRC	4.38	0.0157
HNRNPLL	3.34	0.0404
SUPT16H	4.61	0.00825
SYNPO	2.52	0.0227
CPSF6	3.55	0.0393
EDC4	2.89	0.0429
PEAK1	3.42	0.0131
SF3A1	3.36	0.00877
SLC27A4	2.32	0.039
ABHD12	2.73	0.0173
COL12A1	5	0.00667
APOB	5.21	0.0078
NPTN	3.76	0.0403
HCFC1	3.34	0.027
SCP2	4.39	0.00667
RBBP7	3.78	0.0359
TM9SF3	6.15	0.0172
NUFIP2	3.49	0.0337
SF3B6	2.09	0.0375
ARL6IP5	3.85	0.0141
RAB3GAP2	2.53	0.0197
MON2	1.95	0.0283
CLASP1	1.79	0.0488
PRKAG1	1.99	0.0387
RHOT1	2.3	0.0193
NPC1	5.15	0.00579
ALDH3A2	3.01	0.0204
MARS1	4	0.00877
UQCRQ	3.46	0.00877
LAMB1	2.46	0.0497
TMPO	2.55	0.0143
GIT1	6	0.00549
H3C1	2.11	0.0327
RUFY1	4.78	0.00549
NENF	3.95	0.023
NOP56	5.13	0.00579
PPM1B	2.04	0.0344
GNG12	4.98	0.00667
TOP2B	2.61	0.0266
TMOD3	1.65	0.0488
TFRC	5.71	0.00667
RABGAP1	2.49	0.0314
VPS13C	4.74	0.0191
NCLN	3.92	0.0141
MCRIP1	3.69	0.0349
SRRT	2.53	0.023
U2AF2	3.38	0.0233
COX5A	7.02	0.00877
DNAJC3	4.03	0.0191
ABCC1	3.6	0.0078
ABCF2	2.34	0.0439
TIMM8B	3.91	0.00934
PKD2	1.8	0.042
TBC1D8B	4.07	0.0337
TMEM106B	2.89	0.0133
PPP1R13L	3.03	0.0246
ATG3	1.85	0.0439
GNL1	3.69	0.00825
MAN2A1	5.11	0.00549
CYP20A1	4.62	0.00825
TMX4	2.35	0.0254
DLG1	3.72	0.0444
LAMTOR3	3.6	0.0465
PTPN23	2.34	0.0232
HERC4	3.85	0.0161
NUCB2	4.11	0.0219
AGL	1.99	0.0342
TOMM40	4.75	0.00549
UQCRC1	2.25	0.0409
TM9SF4	2.39	0.0228
GOLGB1	2.65	0.018
UBE4B	2.2	0.0226
NDUFA8	3.56	0.0205
OSBP	3.29	0.0131
NUMBL	4.08	0.0229
DAZAP1	4.15	0.0209
ARHGEF7	3.77	0.0377
MICU1	2.79	0.0131
SAMD9L	3.2	0.0227
COG3	5.16	0.00549
BCKDHA	4.06	0.00669
ACAT1	4.06	0.0116
ATXN2	3.73	0.00825
IARS2	2.91	0.0141
RANBP2	2.81	0.0289
PYCR2	4.17	0.00877
CRTAP	3.85	0.00945
PHLDB2	4.04	0.0172
QKI	3.91	0.0254
GOLGA2	3.2	0.00877
MBNL1	5.26	0.00877
LEMD2	4.73	0.00669
ATP5F1D	6.12	0.0216
GIGYF2	2.83	0.0376
CHID1	3.14	0.0193
BLMH	2.65	0.0293
NOP58	5.58	0.00877
SMARCC2	3.23	0.00903
YAP1	3.04	0.0209
RNF7	3.46	0.0315
MROH1	2.45	0.0301
POLR2B	1.65	0.0429
BLOC1S4	2.09	0.0415
NCEH1	4.42	0.00801
RO60	2.69	0.023
SCRIB	3.22	0.0136
HTT	2.1	0.0247
SEC61B	6.39	0.00877
ORMDL3	2.33	0.0243
PAM	2.06	0.037
TM9SF1	2.63	0.0159
SETD7	4.29	0.033
SMARCA5	3.28	0.00877
TNC	4.6	0.0126
SMAP1	2.19	0.0432
GYS1	5.36	0.0304
STAT5B	2.86	0.0178
CCDC93	2.17	0.0363
PCCB	2.38	0.0482
C9orf64	2.12	0.027
GAK	3.3	0.0175
SMURF2	3.2	0.016
ABCD3	2.94	0.0248
MYADM	4.18	0.0214
GBE1	5.22	0.0338
IVD	2.22	0.0209
AMDHD2	1.98	0.0444
SMAD2	3.45	0.0241
SUPT5H	2.1	0.0332
ANO10	3.07	0.00877
EMC6	3.84	0.0161
GOPC	5.5	0.00877
HIBCH	2.23	0.0281
UBLCP1	1.92	0.0403
UBE2G2	3.52	0.0188
