ID	CS.T1_vs_N.ctr_ratio	CS.T1_vs_N.ctr_p.adj
KRT1	-4.4	0.0126
KRT9	-5.1	0.00667
KRT2	-4.04	0.0161
KRT10	-3.59	0.0253
TPM2	-2.11	0.0227
TPM4	-3	0.0241
YWHAZ	-3.4	0.0104
TPM3	-2.43	0.0348
CSRP1	-2.79	0.0365
ANXA5	-3.4	0.00825
YWHAE	-3.36	0.0114
YWHAG	-3.3	0.0118
PRDX1	-3	0.0204
KRT14	-4.44	0.00801
YWHAB	-3.02	0.0273
KRT16	-3.87	0.0122
KRT6B	-3.53	0.0405
KRT6A	-3.93	0.0141
KRT5	-4.31	0.00877
TPI1	-2.98	0.0175
YWHAQ	-3.09	0.0242
FHL1	-2.9	0.0244
YWHAH	-3.08	0.0161
ARHGDIA	-2.77	0.0405
CTNNA1	-1.9	0.042
UCHL1	-3.63	0.0078
CNBP	-2.73	0.0159
GSTP1	-2.37	0.0456
RAN	-3.41	0.0232
PRDX4	-3.09	0.0229
TPT1	-3.07	0.0173
ANXA4	-3.31	0.0091
HPRT1	-3.14	0.0191
PRDX6	-2.92	0.0366
FTH1	-2.3	0.0405
CSRP2	-2.78	0.0197
CBR1	-2.52	0.0469
PRDX2	-2.79	0.0426
CMPK1	-2.81	0.0301
PEBP1	-2.97	0.0159
SRSF2	-2.18	0.0235
PSPH	-3.23	0.0197
USP9Y	-3.58	0.00964
PARK7	-3.76	0.00776
QDPR	-2.37	0.045
RANBP1	-2.91	0.0279
MEMO1	-2.84	0.0197
MCTS1	-2.22	0.0401
HGFAC	-2.72	0.0197
CLEC3B	-2.27	0.0482
EIF1AX	-1.92	0.0381
NIT2	-2.88	0.0291
FHL3	-2.78	0.0136
EEF1B2	-3.23	0.0197
SBDS	-2.89	0.0279
VPS29	-2.49	0.0173
UCHL3	-2.7	0.0239
RAB43	-3.26	0.016
PSMD9	-2.63	0.0368
DSP	-3.06	0.0134
GLOD4	-3.26	0.0173
HRNR	-8.47	0.0078
KRT78	-6.13	0.00729
PDAP1	-2.37	0.0273
EIF1B	-2.86	0.0173
SERPINB6	-1.72	0.0403
GRB2	-3.15	0.0161
STUB1	-2.09	0.039
DSG1	-4.64	0.00945
CLINT1	-3.93	0.00877
GLO1	-3.79	0.00669
SUMO2	-2.11	0.031
KRAS	-3.57	0.00931
SPCS2	-2.35	0.0398
NUCB1	-1.95	0.0371
NIT1	-2.31	0.039
SLC12A4	-4.43	0.00779
NNMT	-2.03	0.0393
PHLDB1	-3.64	0.0078
GSTA5	-3.27	0.0197
REXO2	-2.79	0.0444
MOB1A	-3.45	0.0197
PTMA	-2.77	0.0153
FBLN2	-1.98	0.0305
SERPINE1	-2.02	0.0477
AK1	-2.65	0.0403
ANXA3	-1.85	0.0387
ZBTB8OS	-2.44	0.0466
HDGF	-1.9	0.0363
ANXA8L1	-2.32	0.039
KRT80	-3.79	0.00825
VBP1	-1.58	0.045
DTD1	-3.09	0.00877
H3-3A	-3.27	0.0439
HDHD2	-2.71	0.0191
LGALSL	-2.09	0.0381
HDGFL3	-2.98	0.019
PMM1	-2.04	0.0291
HYI	-2.8	0.0359
PIR	-1.83	0.0445
CASP3	-2.82	0.0254
CACYBP	-2.71	0.0222
PMM2	-2.29	0.0409
UAP1L1	-3.07	0.0466
COMMD4	-2.8	0.0432
PTGR2	-2.85	0.0308
CALML5	-6.68	0.00877
C11orf68	-2.08	0.0275
PIP	-5.06	0.0361
HAGH	-3.79	0.00825
ECHDC1	-3.09	0.0358
ARFGEF1	-5.56	0.00877
PLPP3	-1.76	0.0439
FILIP1L	-2.74	0.0206
SNTB2	-2.33	0.0431
TTL	-2.95	0.0403
SNRPB2	-2.61	0.041
CHMP2A	-4.82	0.00779
GGCT	-2.78	0.0274
CPSF7	-3.16	0.029
SYNE1	-1.99	0.0343
SPTLC2	-2.39	0.0219
C1QTNF3	-3.78	0.012
FAM3A	-2.28	0.0315
BICD2	-2.95	0.0326
NUDT4	-3.55	0.00893
RRP12	-2.55	0.0306
SUPT6H	-2.12	0.0436
CSTA	-3.85	0.0088
DCUN1D3	-5.12	0.0188
