Gene	M1_24h_1	M1_24h_2	M1_24h_3	MO_Baseline_1	MO_Baseline_2	MO_Baseline_3	M2_24h_1	M2_24h_2	M2_24h_3
Ggact	1.56526992970049	2.25003044568507	1.29128959760756	13.5043314649054	13.2174044680807	11.734005432592	5.41871011247299	5.95517570498814	4.53484874508852
Ggct	66.3620475367844	63.3668212866125	63.685870463449	4.3263116607934	2.31166978799269	4.64318579487874	14.3016895959971	15.6379500790111	14.2026463650312
Ggcx	8.01526153656973	7.88866096017294	6.69606873810929	8.9153215628494	10.4339653355997	8.75781278648757	8.81814021722101	8.6049145179165	8.47159736041142
Ggh	93.6328279499282	92.210585072262	96.8334075566739	66.8977490015284	61.3929173627447	65.1265762367493	48.2774651388192	43.1862515679985	43.6345288700643
Ggn	5.51892587282327	5.59796731366224	4.85897632089442	1.05900228508985	1.47034779032188	1.14656601940088	0.333459083844492	0.538929928053225	0.490977718464308
Ggnbp1	2.53681678261803	1.16567842366817	1.54422261157192	1.57618944757559	2.11509922778923	1.61820310539557	0.314933579186465	0.646715913663871	0.633807600199379
Ggnbp2	107.450383191422	111.593377465814	107.46990640707	68.2276588479203	62.6745574152712	65.2241563235068	58.6424849949855	62.6685684671226	61.9346074673703
Ggps1	25.1927496444035	24.7774437030861	24.3880674517221	18.9963665713016	17.1330900273336	17.0927785303592	17.8956374996544	17.4074366761192	20.0051103105184
Ggt1	0	0	0.146434902821476	0	0	0	0	0	0
Ggt5	2.80669090842846	2.9006416588952	1.59747166714337	9.12876388387527	10.7406154095171	9.91251047978491	3.22343781049676	3.85334898558056	3.70465005750341
Ggt6	0	0	0	0	0	0	0.0926275232901367	0	0
Ggt7	0.863597202593372	1.13856962311774	1.15816695867894	0.763466763669424	1.50179907995444	0.935142498092916	1.29678532606191	1.40121781293839	1.24976146518187
Ggta1	464.062053037323	446.59038026766	417.472595680134	87.4949329805239	84.4231241961821	87.3016509523961	46.1285065984881	50.7761813880814	49.3387972718587
Gh	0	0	0	0	0	0.0975800867575217	0	0	0
Ghdc	17.8926545412314	15.5197883151169	20.9801278951496	10.9676515727134	9.71058567405093	12.848044756407	11.6247541729122	11.6857972732874	10.2480440144914
Ghitm	261.251647490786	253.006435537093	260.494379855512	97.7812109899625	86.2079848828295	89.7167580996447	138.922759430547	139.960102315423	143.097687763325
Ghr	4.69580978910146	5.39465130953407	4.45960840410857	5.20470890501521	5.76344882516545	5.04163781580529	7.89186498431964	8.77557566180002	7.80208228977827
Ghrh	0	0	0.266245277857228	0	0	0	0	0	0
Ghrhr	0	0	0	0	0	0	0	0	0
Ghrl	1.11997762211328	0.704828814310984	0.918546208607437	1.24781664599734	1.09293231473124	1.71578319215309	0.37977284548956	0.583840755390994	0.0981955436928615
Ghsr	0.0809622377431286	0.0813264016512674	0.0399367916785842	0	0	0	0	0	0
Gid4	10.997370626775	10.8028570193434	10.7296846976463	11.7475369764618	11.534760472739	11.5551086068699	9.05897177777536	10.1678113092709	10.7925829386063
Gid8	65.6333873970963	64.9120229179866	61.4227856016626	46.8916360653737	46.7680676836072	47.3913954685697	48.2033631201871	47.5785304816323	48.8210389505691
Gif	0	0	0	0	0	0	0	0	0
Gigyf1	23.5600111832504	23.6930916810692	24.7341863129365	27.0497095300081	24.7757534080441	25.6879578389176	11.6988561915443	13.5810341869413	12.9528848998493
Gigyf2	25.7324978960244	27.5560957595044	26.2784089245084	34.9552847280044	32.9845400021406	35.9663936440432	33.2995946228041	33.4765306975729	32.5830667708131
Gimap1	0.782634964850243	1.23345042504422	1.35785091707186	0.878397244221811	2.09937358297295	1.0408542587469	1.26899706907487	0.97905603596336	0.749856879109125
Gimap3	0.715166433397636	1.03013442091605	1.71728204217912	1.28065392615516	1.6590555281172	1.30919949733008	0.10189027561915	0.601805086326102	0.580246394548727
Gimap4	4.02112447457539	6.43834013072534	6.96231401596652	6.10773410935539	12.1166093309413	7.83893363618758	4.51096038422966	5.11983431650564	5.00797272833594
Gimap5	0.5667356642019	1.58586483219971	0.346118861214397	0.788094723787793	1.84776326591253	0.520427129373449	1.19489505044276	0.781448395677177	0.749856879109125
Gimap6	3.11704615311045	5.48953211146055	5.85739611285902	4.03898545941244	7.50899539977218	4.91966270735839	5.42797286480201	3.65574134529438	3.70465005750341
Gimap7	0.296861538391472	0.311751206329858	0.425992444571565	0.697792203353775	0.518946278937135	0.317135281961946	0	0	0.196391087385723
Gimap8	0.931065734045979	1.49098403027324	1.29128959760756	0.976909084695285	1.65119270570907	1.37425288850176	1.24120881208783	1.15869934531443	1.09800471583836
Gimap9	1.3223832164711	0.98947122009042	1.33122638928614	0.903025204340179	1.76913504183114	0.853825759128315	1.10226752715263	1.74254010070543	1.00873603975394
Gimd1	0	0	0	0	0	0	0	0	0
Gin1	3.18451468456306	5.17778090513069	4.73916594585866	9.76088152691339	10.6934384750682	9.96943219706013	7.23420956895967	6.95219607188661	5.04368019876971
Ginm1	56.1338181685692	48.1181209769999	48.0705849171226	29.3729471011742	31.0109715776979	29.6318196787008	26.3154793667278	27.2878186904283	27.7089970566038
Gins1	4.45292307587207	6.20791532604675	2.90207352864379	4.86812678339751	5.00861787398417	4.59439575149998	10.846682977275	8.2546100646819	7.34681204174773
Gins2	4.54737901990572	5.85550091889125	6.08370459903767	8.98920544320451	7.76060571683261	7.62751011487961	10.855945729604	11.5600469567417	9.83740810450304
Gins3	2.94162797133367	2.95485925999605	2.8621367369652	3.0538670546777	1.94997995721832	3.30145960196282	2.40831560554355	2.11080888487513	2.59771847405661
Gins4	29.1868867063979	30.7955974252799	28.1953749250805	25.1451472808543	20.6949485782203	24.4926017761379	25.2410000965622	24.7099372012404	23.1562945762984
Gip	0.242886713229386	0	0	0	0	0	0	0	0
Gipc1	76.6577454364523	68.2057421848629	73.2307636746306	43.8213503706171	45.219091669204	43.9842241059529	65.061572358992	70.087837143322	69.522444934546
Gipc2	0.0809622377431286	0	0.346118861214397	0.155977080749667	0.212296205019737	0.406583694823007	0	0.646715913663871	0.249952293036375
Gipc3	0.256380419519907	1.19278722421859	0.559115083500179	0.0656745603156494	0.0864910464895225	0.0813167389646014	0.240831560554355	0	0
Gipr	37.161667124096	31.120903031885	31.21725882876	0.0410466001972809	0	0.0243950216893804	0	0.14371464748086	0.116049278909745
