"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","mmu04625","C-type lectin receptor signaling pathway","1/18","112/10563",0.00892857142857143,5.23958333333333,1.86354251719343,0.174717313177099,0.314350173065214,0.298213939360112,"12051",1
"Organismal Systems","Nervous system","mmu04725","Cholinergic synapse","1/18","114/10563",0.0087719298245614,5.14766081871345,1.83951925125717,0.177557807919532,0.314350173065214,0.298213939360112,"12323",1
"Organismal Systems","Endocrine system","mmu04928","Parathyroid hormone synthesis, secretion and action","1/18","116/10563",0.00862068965517241,5.05890804597701,1.81605271983822,0.180389067495432,0.314350173065214,0.298213939360112,"20531",1
"Environmental Information Processing","Signal transduction","mmu04066","HIF-1 signaling pathway","1/18","117/10563",0.00854700854700855,5.01566951566952,1.80452093956374,0.181801242931929,0.314350173065214,0.298213939360112,"12323",1
"Environmental Information Processing","Signal transduction","mmu04668","TNF signaling pathway","1/18","118/10563",0.00847457627118644,4.97316384180791,1.79311976660239,0.183211120169841,0.314350173065214,0.298213939360112,"12051",1
"Organismal Systems","Endocrine system","mmu04919","Thyroid hormone signaling pathway","1/18","120/10563",0.00833333333333333,4.89027777777778,1.77069857794486,0.186023994126682,0.314350173065214,0.298213939360112,"13370",1
"Organismal Systems","Nervous system","mmu04722","Neurotrophin signaling pathway","1/18","121/10563",0.00826446280991736,4.84986225895317,1.75967342121158,0.187426997871364,0.314350173065214,0.298213939360112,"12323",1
"Cellular Processes","Cell growth and death","mmu04114","Oocyte meiosis","1/18","123/10563",0.00813008130081301,4.7710027100271,1.7379816749291,0.190226156419806,0.314350173065214,0.298213939360112,"12323",1
"Organismal Systems","Immune system","mmu04611","Platelet activation","1/18","126/10563",0.00793650793650794,4.65740740740741,1.70630558799937,0.194407824318861,0.314350173065214,0.298213939360112,"18441",1
"Human Diseases","Neurodegenerative disease","mmu05022","Pathways of neurodegeneration - multiple diseases","2/18","481/10563",0.00415800415800416,2.44005544005544,1.33556320560114,0.196602190121967,0.314350173065214,0.298213939360112,"12323/22146",2
"Organismal Systems","Sensory system","mmu04750","Inflammatory mediator regulation of TRP channels","1/18","130/10563",0.00769230769230769,4.51410256410256,1.66558786258296,0.199951663933924,0.314350173065214,0.298213939360112,"12323",1
"Organismal Systems","Endocrine system","mmu04915","Estrogen signaling pathway","1/18","134/10563",0.00746268656716418,4.37935323383085,1.62648737736159,0.205459458248048,0.314350173065214,0.298213939360112,"15519",1
"Cellular Processes","Cell growth and death","mmu04210","Apoptosis","1/18","136/10563",0.00735294117647059,4.31495098039216,1.60750717555065,0.208199907423126,0.314350173065214,0.298213939360112,"22146",1
"Organismal Systems","Nervous system","mmu04728","Dopaminergic synapse","1/18","137/10563",0.0072992700729927,4.28345498783455,1.59815365507544,0.209566782043476,0.314350173065214,0.298213939360112,"12323",1
"Human Diseases","Cardiovascular disease","mmu05418","Fluid shear stress and atherosclerosis","1/18","149/10563",0.00671140939597315,3.93847874720358,1.49242647150598,0.225796410362456,0.332536531624708,0.315466755147546,"15519",1
"Organismal Systems","Endocrine system","mmu04921","Oxytocin signaling pathway","1/18","154/10563",0.00649350649350649,3.81060606060606,1.45158301091915,0.232465429211862,0.334114789055503,0.316963997414577,"12323",1
"Organismal Systems","Circulatory system","mmu04261","Adrenergic signaling in cardiomyocytes","1/18","156/10563",0.00641025641025641,3.76175213675214,1.43572169394171,0.235117814520539,0.334114789055503,0.316963997414577,"12323",1
"Human Diseases","Endocrine and metabolic disease","mmu04934","Cushing syndrome","1/18","162/10563",0.00617283950617284,3.62242798353909,1.3896632470484,0.243023126700139,0.33544043041287,0.318221590904996,"12323",1
"Cellular Processes","Transport and catabolism","mmu04148","Efferocytosis","1/18","163/10563",0.00613496932515337,3.6002044989775,1.38219933609616,0.244333153016781,0.33544043041287,0.318221590904996,"12323",1
"Cellular Processes","Cellular community - eukaryotes","mmu04530","Tight junction","1/18","170/10563",0.00588235294117647,3.45196078431373,1.33153798182349,0.253443562510782,0.342148809389556,0.324585615145388,"22146",1
"Environmental Information Processing","Signal transduction","mmu04310","Wnt signaling pathway","1/18","175/10563",0.00571428571428571,3.35333333333333,1.29694793583115,0.259887379372806,0.345096356216349,0.327381858398876,"12323",1
"Human Diseases","Infectious disease: bacterial","mmu05152","Tuberculosis","1/18","180/10563",0.00555555555555556,3.26018518518519,1.26358625052398,0.266278641892593,0.347256438865609,0.329431059612599,"12323",1
"Cellular Processes","Transport and catabolism","mmu04145","Phagosome","1/18","183/10563",0.00546448087431694,3.20673952641166,1.24412490588047,0.270088341339918,0.347256438865609,0.329431059612599,"22146",1
NA,NA,"mmu04082","Neuroactive ligand signaling","1/18","196/10563",0.00510204081632653,2.99404761904762,1.16418782677526,0.286382199340935,0.359961814175128,0.341484242167438,"18441",1
"Cellular Processes","Cell motility","mmu04814","Motor proteins","1/18","198/10563",0.00505050505050505,2.96380471380471,1.15247704040904,0.288858245943004,0.359961814175128,0.341484242167438,"22146",1
"Human Diseases","Cancer: overview","mmu05205","Proteoglycans in cancer","1/18","204/10563",0.00490196078431373,2.8766339869281,1.11820591867573,0.296237793188848,0.363017330576836,0.344382912697974,"12323",1
"Environmental Information Processing","Signal transduction","mmu04015","Rap1 signaling pathway","1/18","215/10563",0.00465116279069767,2.72945736434109,1.05849039629422,0.309579496685379,0.363017330576836,0.344382912697974,"18441",1
"Organismal Systems","Immune system","mmu04621","NOD-like receptor signaling pathway","1/18","216/10563",0.00462962962962963,2.71682098765432,1.05324815468215,0.31078046006571,0.363017330576836,0.344382912697974,"15519",1
"Human Diseases","Cardiovascular disease","mmu05415","Diabetic cardiomyopathy","1/18","217/10563",0.00460829493087558,2.70430107526882,1.04803549099394,0.311979450277251,0.363017330576836,0.344382912697974,"12323",1
NA,NA,"mmu04081","Hormone signaling","1/18","220/10563",0.00454545454545455,2.66742424242424,1.03257173202743,0.315564612391907,0.363017330576836,0.344382912697974,"13370",1
"Environmental Information Processing","Signal transduction","mmu04024","cAMP signaling pathway","1/18","224/10563",0.00446428571428571,2.61979166666667,1.01234826740022,0.320317388800227,0.363017330576836,0.344382912697974,"12323",1
"Human Diseases","Cancer: overview","mmu05202","Transcriptional misregulation in cancer","1/18","226/10563",0.00442477876106195,2.59660766961652,1.00240036167953,0.322682071623855,0.363017330576836,0.344382912697974,"235320",1
"Human Diseases","Cancer: overview","mmu05207","Chemical carcinogenesis - receptor activation","1/18","231/10563",0.00432900432900433,2.54040404040404,0.977990153680835,0.328559831322871,0.364566388180172,0.345852454024075,"15519",1
"Environmental Information Processing","Signal transduction","mmu04020","Calcium signaling pathway","1/18","255/10563",0.00392156862745098,2.30130718954248,0.869057989620554,0.356108708498621,0.389794667410652,0.369785714372679,"12323",1
"Human Diseases","Neurodegenerative disease","mmu05020","Prion disease","1/18","273/10563",0.00366300366300366,2.14957264957265,0.79505303691504,0.376066031385441,0.406151313896276,0.385302740928242,"22146",1
"Environmental Information Processing","Signal transduction","mmu04010","MAPK signaling pathway","1/18","299/10563",0.00334448160535117,1.96265328874025,0.697642955755064,0.403864356882241,0.430434380361336,0.408339308205036,"15507",1
"Human Diseases","Neurodegenerative disease","mmu05016","Huntington disease","1/18","308/10563",0.00324675324675325,1.90530303030303,0.666173790453064,0.413211241394305,0.434676760427775,0.412363918274562,"22146",1
"Environmental Information Processing","Signal transduction","mmu04151","PI3K-Akt signaling pathway","1/18","368/10563",0.00271739130434783,1.59465579710145,0.479713558473279,0.472075538259903,0.490232289731437,0.465067669270889,"15519",1
"Human Diseases","Neurodegenerative disease","mmu05014","Amyotrophic lateral sclerosis","1/18","376/10563",0.00265957446808511,1.56072695035461,0.457412724341561,0.479488858062117,0.49162781649407,0.46639156080659,"22146",1
"Human Diseases","Neurodegenerative disease","mmu05010","Alzheimer disease","1/18","389/10563",0.0025706940874036,1.50856898029135,0.422245318667022,0.491326193558978,0.494021545187319,0.468662414537677,"22146",1
"Environmental Information Processing","Signaling molecules and interaction","mmu04080","Neuroactive ligand-receptor interaction","1/18","392/10563",0.00255102040816327,1.49702380952381,0.414309071222603,0.494021545187319,0.494021545187319,0.468662414537677,"18441",1
